Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments
Brown,adam44.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y2M17D'],I can give him one of mine,one,pronoun,one,pronoun,pronoun,?,?
Brown,adam44.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y2M17D'],no we have_to give it back to her,,,,,0,,
Brown,adam44.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y2M17D'],my tongue hurts drinking all dat that stuff dat that Pucile gave me,,,,,0,?,?
Brown,adam45.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y3M9D'],I'm giving the man to Paul,man,object,man,object,object,,
Brown,adam46.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y4M1D'],Mom give him a kiss,kiss,event,kiss,event,event,,
Brown,adam46.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y4M1D'],he gave you a kiss too,kiss,event,kiss,event,event,,
Brown,adam46.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y4M1D'],you give each one a car and den then you,car,object,car,object,object,,
Brown,adam46.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y4M1D'],just give me some,some,pronoun,some,pronoun,pronoun,,
Brown,adam46.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y4M1D'],do that puzzle so you must give him something,something,pronoun,something,pronoun,pronoun,,
Brown,adam48.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y5M11D'],I got four children so I'm gonna give all of dem them,them,pronoun,all,pronoun,pronoun,,
Brown,adam49.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y6M24D'],don't give him de the dinosaurs okay,dinosaurs,object,dinosaur,object,object,,
Brown,adam49.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y6M24D'],I'm gonna give dem them to Paul now,them,pronoun,them,pronoun,pronoun,,
Brown,adam49.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y6M24D'],I eat everything my Mother gives me,,,,,0,?,?
Brown,adam50.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y7M1D'],she gave me dis this,this,pronoun,this,pronoun,pronoun,,
