Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam13.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M4D'],she doing on table,,,,,0,?,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],what de the do dat that for,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],don't do dat that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],how do you know Rusty,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],yes but where do you spit,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],you do it,,,,,0,,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],do do break it,,,,,0,,,,,,,,,,,,,,,
Brown,adam14.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y9M18D'],I did it,,,,,0,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],why do that,that,pronoun,that,pronoun,pronoun,,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],stay right dere there how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],what do you doing,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],nineteen clock how do you know,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you me know dat that,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know Cromer,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know Cromer,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
Brown,adam15.xml,['Adam'],do|does|doing|did|didn't|done|doesn't,['P2Y10M2D'],how do you know Cromer,you,pronoun,you,pronoun,pronoun,?,,,,,,,,,,,,,,
