Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],I got fingernail broke out,fingernail,object,fingernail,object,object,,?,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],I got a hanger,hanger,object,hanger,object,object,,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],why dis this got holes,hole,object,holes,object,object,,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],you got scratch right dere there,scratch,object,scratch,object,object,,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],he's got a scratch,scratch,object,scratch,object,object,,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],cars get in,,,,,0,?,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],why fly get in here,,,,,0,?,,
Brown,adam20.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M11D'],I going get out,,,,,0,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],I going get some Howard Johnson,Howard Johnson,object,Howard Johnson,object,object,,?,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],her got on in baby carriage,,,baby carriage,object,!!!,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],she going get in the moving van,,,moving van,object,!!!,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],going get on dat that big truck,,,big truck,object,!!!,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],o it's getting big,big,event,big,event,event,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],it's getting bigger an bigger an bigger,bigger,event,bigger,event,event,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],it's getting bigger an bigger an bigger an bigger,bigger,event,bigger,event,event,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],she got broken,broken,event,broken,event,event,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],why she got broken huh,broken,event,broken,event,event,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],she got broken broken right here,broken,event,broken,event,event,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],it's got caught,caught,event,caught,event,event,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],it's got some money in,money,object,money,object,object,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],it's got wheels just like dat that big truck,wheel,object,wheels,object,object,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],gon get some more,more,pronoun,more,pronoun,pronoun,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],he going get some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],I got something in here,something,pronoun,something,pronoun,pronoun,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],it's got something look,something,pronoun,something,pronoun,pronoun,,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],don't get on my feet,,,,,0,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],so toys can get down,,,,,0,?,,
Brown,adam21.xml,['Adam'],get|gets|got|gotten|getting,['P3Y0M25D'],I want to do that get up my nap,,,,,0,?,,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got pa,pa,object,pa,object,object,?,?,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I get Suzy xxx march get xxx kissing cheeks,"Suzy, cheek",object,Suzy,object,object,,?,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got another one,one,pronoun,another one,pronoun,pronoun,,?,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got a bik out,bik,object,bik(e?),object,object,,bike?,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],I got a bik out,bik,object,bik(e?),object,object,,bike?,
Brown,adam22.xml,['Adam'],get|gets|got|gotten|getting,['P3Y1M9D'],p i o get in de the truck,,,truck,object,!!!,?,,
